กราฟฟิค แอนด์ ปริ้นติ้งเซ็นเตอร์ (บจก)
กุลวงศ์ (บจก)
เซ็นเตอร์ คอนเทนเนอร์ (บจก)
ท.ไทยเยนเนอร์ราล (1975) (บจก)
ไทยอ๊อฟเซท (บจก)
บางกอกไกด์ (หจก) 
สยามพรหมประทาน (บจก)
แสงอินเตอร์ ลามิเนต (บจก)
อินเตอร์อิ๊งค์ (บจก)
เอช แอนด์ ที คอร์ปอเรชั่น (บจก)
ไอด้า แปซิฟิค (บจก)  กระดาษ 
ยูนิลีเวอร์ไทย โฮลดิ้งส์ (บจก)  ยา 
รวมเจริญมาเก็ตติ้ง (บจก)  ยา 
ล็อกซเล่ย์ (บมจ)  ยา 
ล่ำสูง (ประเทศไทย) (บมจ)  ยา 
วี.เอส.ฟาร์ม่า (1971) (บจก)  ยา 
วีร่าอัลลายด์แมนูแฟคเจอริ่ง (หจก)  ยา 
ไว. เอส. ซี. เคมีเคิล (บจก)  ยา 
ศิริบัญชา (บจก)  ยา 
ศิลาทิพย์สระบุรี (บจก)  ยา 
สยามเมดิแคร์ (บจก)  ยา 
สยามโสภณ (บจก)  ยา 
สีลมการแพทย์ (บจก)  ยา 
หมอมวลชน (บจก)  ยา 
ห้างขายยากรุงเทพฯ ฟามาซี (หจก)  ยา 
อดินพ (บจก)  ยา 
อัศวินซุปเปอร์แมน (หจก)  ยา 
อาร์ เอ ซี โกลบอล อินเตอร์เนชั่นแนล (บจก)  ยา 
อินเตอร์เนชั่นแนล แลบบอราทอรีส์ (บจก)  ยา 
อีซึ่น เพ้นท์ โปรดักส์ (บจก)  ยา 
อุตสาหกรรมเครื่องหอมไทย-จีน (บจก)  ยา 
